player_name,total_slumps,recovered_slumps,unrecovered_slumps,avg_slump_length,median_slump_length,max_slump_length,avg_games_to_recover,median_games_to_recover,max_games_to_recover,slumps_per_82
Aaron Wiggins,13.0,13.0,0.0,2.0,2.0,4.0,2.0,2.0,4.0,13.0
Alex Sarr,12.0,11.0,1.0,3.0833333333333335,3.0,5.0,2.909090909090909,3.0,5.0,12.0
Alperen Şengün,12.0,11.0,1.0,3.0833333333333335,1.5,8.0,3.1818181818181817,1.0,8.0,12.0
Amen Thompson,17.0,17.0,0.0,1.3529411764705883,1.0,3.0,1.3529411764705883,1.0,3.0,17.0
Andrew Wiggins,12.0,11.0,1.0,2.25,1.5,6.0,2.3636363636363638,2.0,6.0,12.0
Anfernee Simons,11.0,10.0,1.0,2.727272727272727,3.0,5.0,2.5,3.0,4.0,11.0
Anthony Davis,9.0,9.0,0.0,1.8888888888888888,2.0,4.0,1.8888888888888888,2.0,4.0,9.0
Anthony Edwards,15.0,15.0,0.0,1.9333333333333333,1.0,6.0,1.9333333333333333,1.0,6.0,15.0
Austin Reaves,17.0,16.0,1.0,1.4705882352941178,1.0,4.0,1.5,1.0,4.0,17.0
Bam Adebayo,11.0,11.0,0.0,3.1818181818181817,3.0,7.0,3.1818181818181817,3.0,7.0,11.0
Bennedict Mathurin,12.0,11.0,1.0,2.3333333333333335,1.0,11.0,2.1818181818181817,1.0,11.0,12.0
Bradley Beal,9.0,8.0,1.0,1.4444444444444444,1.0,2.0,1.5,1.5,2.0,9.0
Brook Lopez,18.0,18.0,0.0,1.6666666666666667,1.0,5.0,1.6666666666666667,1.0,5.0,18.0
Bub Carrington,13.0,13.0,0.0,3.1538461538461537,2.0,10.0,3.1538461538461537,2.0,10.0,13.0
Buddy Hield,18.0,17.0,1.0,2.1666666666666665,2.0,5.0,2.0588235294117645,2.0,5.0,18.0
CJ McCollum,12.0,11.0,1.0,2.5833333333333335,2.0,5.0,2.727272727272727,2.0,5.0,12.0
Cade Cunningham,12.0,11.0,1.0,2.25,2.0,7.0,2.272727272727273,2.0,7.0,12.0
Cameron Johnson,14.0,13.0,1.0,1.5,1.0,4.0,1.5384615384615385,1.0,4.0,14.000000000000002
Christian Braun,14.0,14.0,0.0,1.5714285714285714,1.0,3.0,1.5714285714285714,1.0,3.0,14.000000000000002
Coby White,14.0,13.0,1.0,1.9285714285714286,1.0,9.0,2.0,1.0,9.0,14.000000000000002
Collin Sexton,15.0,13.0,2.0,1.4,1.0,5.0,1.4615384615384615,1.0,5.0,15.0
Damian Lillard,10.0,8.0,2.0,1.9,1.0,5.0,2.125,1.5,5.0,10.0
Darius Garland,12.0,12.0,0.0,2.0833333333333335,1.0,7.0,2.0833333333333335,1.0,7.0,12.0
De'Aaron Fox,10.0,10.0,0.0,2.6,1.5,6.0,2.6,1.5,6.0,10.0
De'Andre Hunter,17.0,16.0,1.0,1.4705882352941178,1.0,3.0,1.4375,1.0,3.0,17.0
DeMar DeRozan,14.0,13.0,1.0,1.9285714285714286,1.0,4.0,1.8461538461538463,1.0,4.0,14.000000000000002
Deni Avdija,15.0,15.0,0.0,1.7333333333333334,2.0,3.0,1.7333333333333334,2.0,3.0,15.0
Dennis Schröder,13.0,13.0,0.0,3.076923076923077,3.0,7.0,3.076923076923077,3.0,7.0,13.0
Derrick Jones Jr.,14.0,13.0,1.0,2.0,2.0,4.0,2.076923076923077,2.0,4.0,14.000000000000002
Derrick White,13.0,13.0,0.0,1.9230769230769231,1.0,6.0,1.9230769230769231,1.0,6.0,13.0
Desmond Bane,10.0,10.0,0.0,1.8,1.0,5.0,1.8,1.0,5.0,10.0
Devin Booker,15.0,15.0,0.0,1.8,2.0,4.0,1.8,2.0,4.0,15.0
Devin Vassell,10.0,9.0,1.0,3.0,1.5,9.0,3.111111111111111,1.0,9.0,10.0
Dillon Brooks,18.0,17.0,1.0,1.6666666666666667,1.5,4.0,1.7058823529411764,2.0,4.0,18.0
Domantas Sabonis,10.0,10.0,0.0,2.0,1.0,5.0,2.0,1.0,5.0,10.0
Donovan Mitchell,13.0,12.0,1.0,1.6153846153846154,1.0,4.0,1.6666666666666667,1.0,4.0,13.0
Dyson Daniels,16.0,15.0,1.0,2.3125,1.5,10.0,2.4,2.0,10.0,16.0
Evan Mobley,15.0,14.0,1.0,1.6,1.0,4.0,1.5,1.0,4.0,15.0
Franz Wagner,12.0,12.0,0.0,2.1666666666666665,2.0,5.0,2.1666666666666665,2.0,5.0,12.0
Giannis Antetokounmpo,15.0,15.0,0.0,1.2,1.0,2.0,1.2,1.0,2.0,15.0
Harrison Barnes,18.0,18.0,0.0,1.6111111111111112,1.0,4.0,1.6111111111111112,1.0,4.0,18.0
Ivica Zubac,18.0,18.0,0.0,1.5555555555555556,1.5,3.0,1.5555555555555556,1.5,3.0,18.0
Ja Morant,10.0,9.0,1.0,2.1,1.5,5.0,2.2222222222222223,2.0,5.0,10.0
Jaden McDaniels,18.0,17.0,1.0,2.1666666666666665,2.0,6.0,2.176470588235294,2.0,6.0,18.0
Jakob Poeltl,11.0,9.0,2.0,1.7272727272727273,1.0,4.0,1.5555555555555556,1.0,3.0,11.0
Jalen Brunson,16.0,16.0,0.0,1.5625,1.0,3.0,1.5625,1.0,3.0,16.0
Jalen Duren,18.0,18.0,0.0,1.2222222222222223,1.0,2.0,1.2222222222222223,1.0,2.0,18.0
Jalen Green,14.0,13.0,1.0,3.0714285714285716,2.0,11.0,3.076923076923077,2.0,11.0,14.000000000000002
Jalen Williams,12.0,12.0,0.0,2.0833333333333335,1.5,5.0,2.0833333333333335,1.5,5.0,12.0
Jamal Murray,17.0,15.0,2.0,1.588235294117647,1.0,3.0,1.6666666666666667,1.0,3.0,17.0
James Harden,20.0,20.0,0.0,1.8,1.0,5.0,1.8,1.0,5.0,20.0
Jaren Jackson Jr.,12.0,12.0,0.0,2.25,2.0,5.0,2.25,2.0,5.0,12.0
Jarrett Allen,17.0,16.0,1.0,1.2941176470588236,1.0,2.0,1.3125,1.0,2.0,17.0
Jaylen Brown,12.0,11.0,1.0,2.5833333333333335,2.5,6.0,2.727272727272727,3.0,6.0,12.0
Jayson Tatum,14.0,13.0,1.0,2.2857142857142856,1.5,8.0,2.3846153846153846,2.0,8.0,14.000000000000002
Jimmy Butler,8.0,8.0,0.0,1.75,2.0,3.0,1.75,2.0,3.0,8.0
Jonas Valančiūnas,16.0,16.0,0.0,1.75,1.0,4.0,1.75,1.0,4.0,16.0
Jordan Poole,12.0,12.0,0.0,2.3333333333333335,2.0,6.0,2.3333333333333335,2.0,6.0,12.0
Josh Giddey,11.0,11.0,0.0,2.6363636363636362,2.0,5.0,2.6363636363636362,2.0,5.0,11.0
Josh Hart,14.0,14.0,0.0,1.5,1.0,3.0,1.5,1.0,3.0,14.000000000000002
Julius Randle,14.0,12.0,2.0,2.0,2.0,4.0,2.1666666666666665,2.0,4.0,14.000000000000002
Karl-Anthony Towns,15.0,15.0,0.0,1.4666666666666666,1.0,3.0,1.4666666666666666,1.0,3.0,15.0
Kawhi Leonard,6.0,6.0,0.0,2.5,3.0,4.0,2.5,3.0,4.0,6.0
Keegan Murray,13.0,12.0,1.0,2.8461538461538463,3.0,7.0,2.8333333333333335,2.5,7.0,13.0
Keldon Johnson,15.0,15.0,0.0,2.1333333333333333,2.0,4.0,2.1333333333333333,2.0,4.0,15.0
Kelly Oubre Jr.,12.0,11.0,1.0,2.0,1.5,4.0,2.0,1.0,4.0,12.0
Keon Johnson,10.0,10.0,0.0,3.5,3.5,8.0,3.5,3.5,8.0,10.0
Kevin Durant,13.0,12.0,1.0,1.2307692307692308,1.0,2.0,1.1666666666666667,1.0,2.0,13.0
