player_name,slump_pts,slump_fga,slump_fta,slump_ts,recovery_pts,recovery_fga,recovery_fta,recovery_ts
Aaron Wiggins,176.0,214.0,12.0,0.4013133892739876,214.0,146.0,21.0,0.6892553465601648
Alex Sarr,327.0,400.0,77.0,0.37683230386281924,181.0,115.0,20.0,0.7310177705977383
Alperen Şengün,565.0,524.0,163.0,0.47421607466595045,295.0,177.0,103.0,0.663458078445484
Amen Thompson,230.0,225.0,71.0,0.4487980018732438,292.0,175.0,67.0,0.7140062597809077
Andrew Wiggins,350.0,357.0,84.0,0.44420753375977257,231.0,135.0,68.0,0.7003395585738539
Anfernee Simons,281.0,334.0,45.0,0.39711701526286036,261.0,184.0,35.0,0.6544633901705115
Anthony Davis,267.0,269.0,91.0,0.4319829148330313,279.0,178.0,55.0,0.6899109792284867
Anthony Edwards,609.0,590.0,138.0,0.4679432013769363,508.0,325.0,105.0,0.6842672413793104
Austin Reaves,352.0,330.0,117.0,0.461361014994233,366.0,231.0,69.0,0.7001836547291093
Bam Adebayo,483.0,475.0,116.0,0.45909056345525057,248.0,158.0,54.0,0.682218309859155
Bennedict Mathurin,278.0,280.0,72.0,0.4459702258726899,195.0,123.0,46.0,0.6806757888857861
Bradley Beal,114.0,145.0,20.0,0.3706111833550065,173.0,116.0,22.0,0.6882558879694461
Brook Lopez,282.0,294.0,37.0,0.4544282583472993,281.0,179.0,32.0,0.7276776465713694
Bub Carrington,280.0,363.0,37.0,0.3691204387260072,164.0,103.0,17.0,0.7422157856625633
Buddy Hield,188.0,272.0,22.0,0.33371201363249076,313.0,200.0,12.0,0.762373343725643
CJ McCollum,450.0,492.0,70.0,0.4303749043611324,327.0,222.0,44.0,0.6774113357640039
Cade Cunningham,544.0,538.0,120.0,0.4603926878808396,284.0,201.0,45.0,0.6431159420289855
Cameron Johnson,295.0,256.0,73.0,0.5119394696654171,247.0,152.0,65.0,0.6838316722037653
Christian Braun,244.0,230.0,50.0,0.48412698412698413,253.0,151.0,30.0,0.7704019488428746
Coby White,358.0,370.0,82.0,0.4407998423955871,314.0,196.0,45.0,0.7275254865616311
Collin Sexton,293.0,284.0,71.0,0.46472528866895063,240.0,151.0,50.0,0.6936416184971098
Damian Lillard,301.0,280.0,92.0,0.4696080878681977,238.0,142.0,62.0,0.7029773156899811
Darius Garland,389.0,400.0,55.0,0.45851013672795854,262.0,172.0,40.0,0.6909282700421941
De'Aaron Fox,481.0,487.0,110.0,0.4491968621591334,259.0,165.0,60.0,0.6765935214211076
De'Andre Hunter,256.0,263.0,66.0,0.43829612381865496,336.0,189.0,79.0,0.7508044333214159
DeMar DeRozan,393.0,390.0,104.0,0.4509362952083716,369.0,231.0,96.0,0.6752305665349143
Deni Avdija,277.0,277.0,104.0,0.4291114140537861,274.0,149.0,94.0,0.7196890102962806
Dennis Schröder,384.0,422.0,86.0,0.4175365344467641,228.0,144.0,35.0,0.7151819322459222
Derrick Jones Jr.,208.0,222.0,28.0,0.44383748719699556,185.0,117.0,24.0,0.7251489495139543
Derrick White,303.0,322.0,51.0,0.4398443850888399,237.0,151.0,33.0,0.7159255679072015
Desmond Bane,218.0,248.0,41.0,0.4097128251390768,234.0,161.0,17.0,0.6944444444444445
Devin Booker,503.0,470.0,143.0,0.47192824438940184,442.0,297.0,80.0,0.6652618904274533
Devin Vassell,334.0,380.0,40.0,0.4200201207243461,210.0,140.0,13.0,0.7205599780400769
Dillon Brooks,287.0,347.0,36.0,0.39549112556498733,297.0,201.0,38.0,0.6820687121072938
Domantas Sabonis,293.0,266.0,71.0,0.4928677163235096,203.0,120.0,48.0,0.7192460317460317
Donovan Mitchell,324.0,349.0,86.0,0.4187777892668803,366.0,236.0,82.0,0.672596295207292
Dyson Daniels,384.0,435.0,58.0,0.4169200034743334,276.0,181.0,26.0,0.717106630638121
Evan Mobley,262.0,245.0,77.0,0.4697360872059667,285.0,174.0,71.0,0.6943091015396609
Franz Wagner,543.0,498.0,128.0,0.48978929138403804,339.0,237.0,64.0,0.6392366872831498
Giannis Antetokounmpo,464.0,377.0,153.0,0.5221462009362622,477.0,299.0,138.0,0.6630156788613365
Harrison Barnes,188.0,201.0,54.0,0.41822388325324794,307.0,176.0,52.0,0.7718222043443282
Ivica Zubac,334.0,316.0,79.0,0.4761090204128179,376.0,227.0,62.0,0.7393424571338681
Ja Morant,410.0,392.0,122.0,0.4599712798420391,221.0,134.0,47.0,0.7143780708559606
Jaden McDaniels,327.0,372.0,51.0,0.4145117128080316,305.0,188.0,49.0,0.7277152128268753
Jakob Poeltl,151.0,145.0,37.0,0.4681299603174603,166.0,96.0,27.0,0.7693733778272155
Jalen Brunson,484.0,461.0,132.0,0.4662094474840101,532.0,312.0,147.0,0.7061696931082085
Jalen Duren,179.0,148.0,68.0,0.503035071942446,222.0,122.0,56.0,0.7569558101472996
Jalen Green,640.0,665.0,126.0,0.4441730053855977,375.0,244.0,85.0,0.6663113006396589
Jalen Williams,453.0,448.0,88.0,0.4653599605522682,313.0,215.0,46.0,0.665278013943207
Jamal Murray,404.0,401.0,71.0,0.46733296316861,408.0,274.0,72.0,0.6673645642501963
James Harden,659.0,600.0,227.0,0.4707949934274447,557.0,313.0,191.0,0.7014406608905903
