player_name,slump_id,slump_length,games_to_recover,slump_avg_fga,recovery_fga,pct_change_fga
Aaron Wiggins,Aaron Wiggins_3,1,1.0,8.0,10.0,0.25
Aaron Wiggins,Aaron Wiggins_8,2,2.0,8.5,6.0,-0.29411764705882354
Aaron Wiggins,Aaron Wiggins_11,1,1.0,11.0,5.0,-0.5454545454545454
Aaron Wiggins,Aaron Wiggins_13,4,4.0,7.75,5.0,-0.3548387096774194
Aaron Wiggins,Aaron Wiggins_18,2,2.0,10.5,11.0,0.047619047619047616
Aaron Wiggins,Aaron Wiggins_22,1,1.0,5.0,2.0,-0.6
Aaron Wiggins,Aaron Wiggins_27,2,2.0,6.0,10.0,0.6666666666666666
Aaron Wiggins,Aaron Wiggins_39,1,1.0,8.0,8.0,0.0
Aaron Wiggins,Aaron Wiggins_43,3,3.0,7.333333333333333,30.0,3.0909090909090913
Aaron Wiggins,Aaron Wiggins_52,1,1.0,14.0,8.0,-0.42857142857142855
Aaron Wiggins,Aaron Wiggins_60,1,1.0,9.0,9.0,0.0
Aaron Wiggins,Aaron Wiggins_63,4,4.0,7.5,18.0,1.4
Aaron Wiggins,Aaron Wiggins_71,3,3.0,8.666666666666666,24.0,1.7692307692307694
Alex Sarr,Alex Sarr_0,4,4.0,9.25,11.0,0.1891891891891892
Alex Sarr,Alex Sarr_5,5,5.0,10.8,13.0,0.20370370370370364
Alex Sarr,Alex Sarr_11,4,4.0,10.75,11.0,0.023255813953488372
Alex Sarr,Alex Sarr_17,3,3.0,9.333333333333334,10.0,0.07142857142857136
Alex Sarr,Alex Sarr_21,2,2.0,15.5,7.0,-0.5483870967741935
Alex Sarr,Alex Sarr_30,2,2.0,13.0,7.0,-0.46153846153846156
Alex Sarr,Alex Sarr_44,1,1.0,12.0,12.0,0.0
Alex Sarr,Alex Sarr_46,3,3.0,14.666666666666666,12.0,-0.1818181818181818
Alex Sarr,Alex Sarr_54,2,2.0,14.5,17.0,0.1724137931034483
Alex Sarr,Alex Sarr_59,1,1.0,17.0,9.0,-0.47058823529411764
Alex Sarr,Alex Sarr_61,5,5.0,15.8,6.0,-0.620253164556962
Alperen Şengün,Alperen Şengün_2,4,4.0,12.0,15.0,0.25
Alperen Şengün,Alperen Şengün_8,1,1.0,12.0,17.0,0.4166666666666667
Alperen Şengün,Alperen Şengün_11,1,1.0,14.0,9.0,-0.35714285714285715
Alperen Şengün,Alperen Şengün_14,1,1.0,21.0,19.0,-0.09523809523809523
Alperen Şengün,Alperen Şengün_18,1,1.0,23.0,11.0,-0.5217391304347826
Alperen Şengün,Alperen Şengün_25,1,1.0,16.0,14.0,-0.125
Alperen Şengün,Alperen Şengün_29,1,1.0,11.0,25.0,1.2727272727272727
Alperen Şengün,Alperen Şengün_33,3,3.0,17.333333333333332,20.0,0.15384615384615394
Alperen Şengün,Alperen Şengün_37,8,8.0,15.75,12.0,-0.23809523809523808
Alperen Şengün,Alperen Şengün_49,7,7.0,13.0,16.0,0.23076923076923078
Alperen Şengün,Alperen Şengün_62,7,7.0,15.714285714285714,19.0,0.20909090909090916
Amen Thompson,Amen Thompson_0,1,1.0,11.0,4.0,-0.6363636363636364
Amen Thompson,Amen Thompson_2,1,1.0,3.0,5.0,0.6666666666666666
Amen Thompson,Amen Thompson_8,1,1.0,12.0,5.0,-0.5833333333333334
Amen Thompson,Amen Thompson_16,1,1.0,8.0,11.0,0.375
Amen Thompson,Amen Thompson_20,3,3.0,9.666666666666666,14.0,0.4482758620689656
Amen Thompson,Amen Thompson_26,1,1.0,3.0,7.0,1.3333333333333333
Amen Thompson,Amen Thompson_29,1,1.0,8.0,12.0,0.5
Amen Thompson,Amen Thompson_31,2,2.0,11.5,8.0,-0.30434782608695654
Amen Thompson,Amen Thompson_36,1,1.0,8.0,12.0,0.5
Amen Thompson,Amen Thompson_39,1,1.0,15.0,13.0,-0.13333333333333333
Amen Thompson,Amen Thompson_44,1,1.0,16.0,17.0,0.0625
Amen Thompson,Amen Thompson_46,1,1.0,6.0,10.0,0.6666666666666666
Amen Thompson,Amen Thompson_49,3,3.0,9.0,9.0,0.0
Amen Thompson,Amen Thompson_54,1,1.0,8.0,15.0,0.875
Amen Thompson,Amen Thompson_56,2,2.0,11.5,13.0,0.13043478260869565
Amen Thompson,Amen Thompson_61,1,1.0,11.0,11.0,0.0
Amen Thompson,Amen Thompson_67,1,1.0,14.0,9.0,-0.35714285714285715
Andrew Wiggins,Andrew Wiggins_1,1,1.0,10.0,15.0,0.5
Andrew Wiggins,Andrew Wiggins_4,6,6.0,11.333333333333334,12.0,0.05882352941176465
Andrew Wiggins,Andrew Wiggins_15,2,2.0,16.5,7.0,-0.5757575757575758
Andrew Wiggins,Andrew Wiggins_22,5,5.0,13.8,9.0,-0.3478260869565218
Andrew Wiggins,Andrew Wiggins_31,1,1.0,10.0,13.0,0.3
Andrew Wiggins,Andrew Wiggins_35,2,2.0,15.5,11.0,-0.2903225806451613
Andrew Wiggins,Andrew Wiggins_39,1,1.0,17.0,17.0,0.0
Andrew Wiggins,Andrew Wiggins_41,1,1.0,20.0,14.0,-0.3
Andrew Wiggins,Andrew Wiggins_43,4,4.0,15.75,14.0,-0.1111111111111111
Andrew Wiggins,Andrew Wiggins_53,1,1.0,8.0,13.0,0.625
Andrew Wiggins,Andrew Wiggins_56,2,2.0,14.0,10.0,-0.2857142857142857
Anfernee Simons,Anfernee Simons_3,4,4.0,17.25,17.0,-0.014492753623188406
Anfernee Simons,Anfernee Simons_9,4,4.0,8.5,20.0,1.3529411764705883
Anfernee Simons,Anfernee Simons_14,1,1.0,14.0,21.0,0.5
Anfernee Simons,Anfernee Simons_18,3,3.0,13.0,15.0,0.15384615384615385
Anfernee Simons,Anfernee Simons_24,4,4.0,16.0,18.0,0.125
Anfernee Simons,Anfernee Simons_35,3,3.0,11.333333333333334,20.0,0.7647058823529411
Anfernee Simons,Anfernee Simons_43,3,3.0,13.333333333333334,16.0,0.19999999999999996
Anfernee Simons,Anfernee Simons_51,1,1.0,13.0,16.0,0.23076923076923078
Anfernee Simons,Anfernee Simons_59,1,1.0,16.0,26.0,0.625
Anfernee Simons,Anfernee Simons_62,1,1.0,11.0,15.0,0.36363636363636365
Anthony Davis,Anthony Davis_14,2,2.0,19.0,14.0,-0.2631578947368421
Anthony Davis,Anthony Davis_19,2,2.0,14.0,27.0,0.9285714285714286
Anthony Davis,Anthony Davis_23,1,1.0,21.0,22.0,0.047619047619047616
Anthony Davis,Anthony Davis_25,4,4.0,11.75,16.0,0.3617021276595745
Anthony Davis,Anthony Davis_31,1,1.0,17.0,18.0,0.058823529411764705
Anthony Davis,Anthony Davis_33,1,1.0,18.0,18.0,0.0
Anthony Davis,Anthony Davis_35,2,2.0,17.5,22.0,0.2571428571428571
Anthony Davis,Anthony Davis_44,3,3.0,17.333333333333332,23.0,0.32692307692307704
Anthony Davis,Anthony Davis_49,1,1.0,13.0,18.0,0.38461538461538464
Anthony Edwards,Anthony Edwards_0,1,1.0,25.0,24.0,-0.04
Anthony Edwards,Anthony Edwards_9,1,1.0,24.0,19.0,-0.20833333333333334
Anthony Edwards,Anthony Edwards_11,1,1.0,25.0,27.0,0.08
Anthony Edwards,Anthony Edwards_17,4,4.0,18.0,18.0,0.0
Anthony Edwards,Anthony Edwards_23,6,6.0,20.166666666666668,17.0,-0.1570247933884298
Anthony Edwards,Anthony Edwards_30,1,1.0,20.0,12.0,-0.4
Anthony Edwards,Anthony Edwards_32,1,1.0,16.0,31.0,0.9375
Anthony Edwards,Anthony Edwards_36,2,2.0,16.0,25.0,0.5625
Anthony Edwards,Anthony Edwards_43,1,1.0,19.0,23.0,0.21052631578947367
Anthony Edwards,Anthony Edwards_45,1,1.0,20.0,20.0,0.0
Anthony Edwards,Anthony Edwards_48,1,1.0,21.0,28.0,0.3333333333333333
Anthony Edwards,Anthony Edwards_52,5,5.0,23.8,12.0,-0.4957983193277311
Anthony Edwards,Anthony Edwards_69,2,2.0,19.0,19.0,0.0
Anthony Edwards,Anthony Edwards_75,1,1.0,27.0,19.0,-0.2962962962962963
Anthony Edwards,Anthony Edwards_77,1,1.0,11.0,31.0,1.8181818181818181
Austin Reaves,Austin Reaves_0,1,1.0,14.0,12.0,-0.14285714285714285
Austin Reaves,Austin Reaves_4,4,4.0,13.25,13.0,-0.018867924528301886
Austin Reaves,Austin Reaves_10,1,1.0,14.0,12.0,-0.14285714285714285
Austin Reaves,Austin Reaves_12,3,3.0,13.666666666666666,13.0,-0.04878048780487801
Austin Reaves,Austin Reaves_22,1,1.0,14.0,9.0,-0.35714285714285715
Austin Reaves,Austin Reaves_27,2,2.0,16.5,13.0,-0.21212121212121213
Austin Reaves,Austin Reaves_30,2,2.0,13.5,9.0,-0.3333333333333333
Austin Reaves,Austin Reaves_35,1,1.0,15.0,13.0,-0.13333333333333333
Austin Reaves,Austin Reaves_38,1,1.0,14.0,10.0,-0.2857142857142857
Austin Reaves,Austin Reaves_43,1,1.0,17.0,26.0,0.5294117647058824
Austin Reaves,Austin Reaves_46,2,2.0,12.0,21.0,0.75
Austin Reaves,Austin Reaves_53,1,1.0,13.0,12.0,-0.07692307692307693
Austin Reaves,Austin Reaves_55,1,1.0,14.0,17.0,0.21428571428571427
Austin Reaves,Austin Reaves_62,1,1.0,16.0,16.0,0.0
Austin Reaves,Austin Reaves_66,1,1.0,11.0,20.0,0.8181818181818182
Austin Reaves,Austin Reaves_71,1,1.0,10.0,15.0,0.5
Bam Adebayo,Bam Adebayo_0,4,4.0,9.5,24.0,1.5263157894736843
Bam Adebayo,Bam Adebayo_5,4,4.0,16.25,13.0,-0.2
Bam Adebayo,Bam Adebayo_12,2,2.0,14.0,9.0,-0.35714285714285715
Bam Adebayo,Bam Adebayo_15,4,4.0,13.75,8.0,-0.41818181818181815
Bam Adebayo,Bam Adebayo_27,3,3.0,13.0,14.0,0.07692307692307693
Bam Adebayo,Bam Adebayo_32,2,2.0,12.5,14.0,0.12
Bam Adebayo,Bam Adebayo_39,4,4.0,11.0,15.0,0.36363636363636365
Bam Adebayo,Bam Adebayo_53,1,1.0,13.0,12.0,-0.07692307692307693
Bam Adebayo,Bam Adebayo_62,7,7.0,12.571428571428571,18.0,0.4318181818181818
Bam Adebayo,Bam Adebayo_71,1,1.0,14.0,19.0,0.35714285714285715
Bam Adebayo,Bam Adebayo_74,3,3.0,22.0,12.0,-0.45454545454545453
Bennedict Mathurin,Bennedict Mathurin_2,1,1.0,6.0,1.0,-0.8333333333333334
Bennedict Mathurin,Bennedict Mathurin_11,1,1.0,11.0,10.0,-0.09090909090909091
Bennedict Mathurin,Bennedict Mathurin_15,3,3.0,14.0,16.0,0.14285714285714285
Bennedict Mathurin,Bennedict Mathurin_21,11,11.0,12.454545454545455,8.0,-0.35766423357664234
Bennedict Mathurin,Bennedict Mathurin_34,1,1.0,12.0,10.0,-0.16666666666666666
Bennedict Mathurin,Bennedict Mathurin_37,1,1.0,12.0,18.0,0.5
